Régions;Année;Lots;Logements;Unites de restructuration;Total des Unités
Total général;2016;26695;121672;78462;226829
Total général;2017;31561;124016;130045;285622
Total général;2018;21951;143575;146414;311940
Total général;2019;21322;137210;157776;316308
Total général;2020;18647;109846;128178;256671
Total général;2021;23680;116618;138490;278788
Total général;2022;20733;125171;103301;249205
Total général;2023;19812;164978;73426;258216
