Ville;Corps;Activité;Produit;Variété;Année;Indice
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2018;118.7
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2019;118.7
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2020;118.9
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2021;127.8
RABAT;Étanchéité;Produits d'étanchéité;Bitume;Bitume (Kg);2022;137.4
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;Bordures;2005;100.0
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;Bordures;2006;100.0
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;Bordures;2007;100.0
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;Bordures;2008;98.4
RABAT;Gros œuvre;Agglomérés et articles en ciment ou en PVC;Bordures;Bordures;2009;101.3
