Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Marrakech;Villa;MT;2012;9878;184
Marrakech;Villa;MT;2013;10095;188
Marrakech;Villa;MT;2014;10274;191
Marrakech;Villa;MT;2015;10520;196
Marrakech;Villa;MT;2016;10572;197
Marrakech;Villa;MT;2017;10566;197
Marrakech;Villa;MT;2018;10722;200
Marrakech;Villa;MT;2019;10818;201
Marrakech;Villa;MT;2020;10568;197
Marrakech;Villa;MT;2021;10815;201
Marrakech;Villa;MT;2022;11206;209
Marrakech;Villa;PT;2001;3429;100
Marrakech;Villa;PT;2002;3650;106
Marrakech;Villa;PT;2003;3753;109
Marrakech;Villa;PT;2004;4076;119
Marrakech;Villa;PT;2005;4786;140
Marrakech;Villa;PT;2006;5771;168
Marrakech;Villa;PT;2007;6370;186
Marrakech;Villa;PT;2008;6704;196
Marrakech;Villa;PT;2009;6956;203
Marrakech;Villa;PT;2010;6914;202
Marrakech;Villa;PT;2011;7171;209
Marrakech;Villa;PT;2012;7050;206
Marrakech;Villa;PT;2013;7116;208
Marrakech;Villa;PT;2014;7168;209
Marrakech;Villa;PT;2015;7360;215
Marrakech;Villa;PT;2016;7365;215
Marrakech;Villa;PT;2017;7358;215
Marrakech;Villa;PT;2018;7246;211
Marrakech;Villa;PT;2019;7337;214
Marrakech;Villa;PT;2020;7277;212
Marrakech;Villa;PT;2021;7377;215
Marrakech;Villa;PT;2022;7591;221
Marrakech;Villa;VIL;2001;5834;100
Marrakech;Villa;VIL;2002;6179;107
Marrakech;Villa;VIL;2003;6488;112
Marrakech;Villa;VIL;2004;7195;123
Marrakech;Villa;VIL;2005;7805;134
Marrakech;Villa;VIL;2006;8808;152
Marrakech;Villa;VIL;2007;10096;173
Marrakech;Villa;VIL;2008;10893;186
Marrakech;Villa;VIL;2009;11462;195
Marrakech;Villa;VIL;2010;11405;194
Marrakech;Villa;VIL;2011;11838;201
Marrakech;Villa;VIL;2012;11748;200
Marrakech;Villa;VIL;2013;11710;200
Marrakech;Villa;VIL;2014;11876;203
Marrakech;Villa;VIL;2015;11023;204
Marrakech;Villa;VIL;2016;11076;205
Marrakech;Villa;VIL;2017;11092;205
Marrakech;Villa;VIL;2018;11186;206
Marrakech;Villa;VIL;2019;11283;208
Marrakech;Villa;VIL;2020;11073;204
Marrakech;Villa;VIL;2021;11296;208
Marrakech;Villa;VIL;2022;11668;215
Région;Appartement standing;APS;2001;2210;100
Région;Appartement standing;APS;2002;2397;108
Région;Appartement standing;APS;2003;2533;114
Région;Appartement standing;APS;2004;2689;121
Région;Appartement standing;APS;2005;2800;128
Région;Appartement standing;APS;2006;2939;134
Région;Appartement standing;APS;2007;3103;141
Région;Appartement standing;APS;2008;3253;148
Région;Appartement standing;APS;2009;3429;156
Région;Appartement standing;APS;2010;3664;167
