Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Assa;Appartement standing;APS;2001;Non disponible;Non disponible
Assa;Appartement standing;APS;2002;Non disponible;Non disponible
Assa;Appartement standing;APS;2003;Non disponible;Non disponible
Assa;Appartement standing;APS;2004;Non disponible;Non disponible
Assa;Appartement standing;APS;2005;Non disponible;Non disponible
Assa;Appartement standing;APS;2006;Non disponible;Non disponible
Assa;Appartement standing;APS;2007;Non disponible;Non disponible
Assa;Appartement standing;APS;2008;Non disponible;Non disponible
Assa;Appartement standing;APS;2009;Non disponible;Non disponible
Assa;Appartement standing;APS;2010;Non disponible;Non disponible
Assa;Appartement standing;APS;2011;Non disponible;Non disponible
Assa;Appartement standing;APS;2012;Non disponible;Non disponible
Assa;Appartement standing;APS;2013;Non disponible;Non disponible
Assa;Appartement standing;APS;2014;Non disponible;Non disponible
Assa;Appartement standing;APS;2015;Non disponible;Non disponible
Assa;Appartement standing;APS;2016;Non disponible;Non disponible
Assa;Appartement standing;APS;2017;Non disponible;Non disponible
Assa;Appartement standing;APS;2018;Non disponible;Non disponible
Assa;Appartement standing;APS;2019;Non disponible;Non disponible
Assa;Appartement standing;APS;2020;Non disponible;Non disponible
Assa;Appartement standing;APS;2021;Non disponible;Non disponible
Assa;Appartement standing;APS;2022;Non disponible;Non disponible
Assa;Appartement standing;GT;2001;Non disponible;Non disponible
Assa;Appartement standing;GT;2002;Non disponible;Non disponible
Assa;Appartement standing;GT;2003;Non disponible;Non disponible
Assa;Appartement standing;GT;2004;Non disponible;Non disponible
Assa;Appartement standing;GT;2005;Non disponible;Non disponible
Assa;Appartement standing;GT;2006;Non disponible;Non disponible
Assa;Appartement standing;GT;2007;Non disponible;Non disponible
Assa;Appartement standing;GT;2008;Non disponible;Non disponible
Assa;Appartement standing;GT;2009;Non disponible;Non disponible
Assa;Appartement standing;GT;2010;Non disponible;Non disponible
Assa;Appartement standing;GT;2011;Non disponible;Non disponible
Assa;Appartement standing;GT;2012;Non disponible;Non disponible
Assa;Appartement standing;GT;2013;Non disponible;Non disponible
Assa;Appartement standing;GT;2014;Non disponible;Non disponible
Assa;Appartement standing;GT;2015;Non disponible;Non disponible
Assa;Appartement standing;GT;2016;Non disponible;Non disponible
Assa;Appartement standing;GT;2017;Non disponible;Non disponible
Assa;Appartement standing;GT;2018;Non disponible;Non disponible
Assa;Appartement standing;GT;2019;Non disponible;Non disponible
Assa;Appartement standing;GT;2020;Non disponible;Non disponible
Assa;Appartement standing;GT;2021;Non disponible;Non disponible
Assa;Appartement standing;GT;2022;Non disponible;Non disponible
Assa;Appartement standing;MT;2001;Non disponible;Non disponible
Assa;Appartement standing;MT;2002;Non disponible;Non disponible
Assa;Appartement standing;MT;2003;Non disponible;Non disponible
Assa;Appartement standing;MT;2004;Non disponible;Non disponible
Assa;Appartement standing;MT;2005;Non disponible;Non disponible
Assa;Appartement standing;MT;2006;Non disponible;Non disponible
Assa;Appartement standing;MT;2007;Non disponible;Non disponible
Assa;Appartement standing;MT;2008;Non disponible;Non disponible
Assa;Appartement standing;MT;2009;Non disponible;Non disponible
Assa;Appartement standing;MT;2010;Non disponible;Non disponible
Assa;Appartement standing;MT;2011;Non disponible;Non disponible
Assa;Appartement standing;MT;2012;Non disponible;Non disponible
Assa;Appartement standing;MT;2013;Non disponible;Non disponible
Assa;Appartement standing;MT;2014;Non disponible;Non disponible
