Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Berkane;Villa;GT;2001;5380;100
Berkane;Villa;GT;2002;5516;103
Berkane;Villa;GT;2003;5489;102
Berkane;Villa;GT;2004;5363;100
Berkane;Villa;GT;2005;5459;101
Berkane;Villa;GT;2006;5517;103
Berkane;Villa;GT;2007;5670;105
Berkane;Villa;GT;2008;5843;109
Berkane;Villa;GT;2009;6156;114
Berkane;Villa;GT;2010;6458;120
Berkane;Villa;GT;2011;6627;123
Berkane;Villa;GT;2012;6772;126
Berkane;Villa;GT;2013;6843;127
Berkane;Villa;GT;2014;6863;128
Berkane;Villa;GT;2015;6910;128
Berkane;Villa;GT;2016;7091;132
Berkane;Villa;GT;2017;7211;134
Berkane;Villa;GT;2018;7258;135
Berkane;Villa;GT;2019;7310;136
Berkane;Villa;GT;2020;7300;136
Berkane;Villa;GT;2021;7405;138
Berkane;Villa;GT;2022;7481;139
Berkane;Villa;MT;2001;3635;100
Berkane;Villa;MT;2002;3680;101
Berkane;Villa;MT;2003;3802;105
Berkane;Villa;MT;2004;3848;106
Berkane;Villa;MT;2005;3849;106
Berkane;Villa;MT;2006;3895;107
Berkane;Villa;MT;2007;4004;110
Berkane;Villa;MT;2008;4153;114
Berkane;Villa;MT;2009;4250;117
Berkane;Villa;MT;2010;4385;121
Berkane;Villa;MT;2011;4462;123
Berkane;Villa;MT;2012;4543;125
Berkane;Villa;MT;2013;4587;126
Berkane;Villa;MT;2014;4621;127
Berkane;Villa;MT;2015;4653;128
Berkane;Villa;MT;2016;4690;129
Berkane;Villa;MT;2017;4786;132
Berkane;Villa;MT;2018;4819;133
Berkane;Villa;MT;2019;4853;134
Berkane;Villa;MT;2020;4840;133
Berkane;Villa;MT;2021;4938;136
Berkane;Villa;MT;2022;5051;139
Berkane;Villa;PT;2001;2899;100
Berkane;Villa;PT;2002;2937;101
Berkane;Villa;PT;2003;2953;102
Berkane;Villa;PT;2004;2939;101
Berkane;Villa;PT;2005;2858;99
Berkane;Villa;PT;2006;2861;99
Berkane;Villa;PT;2007;2955;102
Berkane;Villa;PT;2008;3045;105
Berkane;Villa;PT;2009;3110;107
Berkane;Villa;PT;2010;3202;110
Berkane;Villa;PT;2011;3237;112
Berkane;Villa;PT;2012;3271;113
Berkane;Villa;PT;2013;3287;113
Berkane;Villa;PT;2014;3300;114
Berkane;Villa;PT;2015;3367;116
Berkane;Villa;PT;2016;3426;118
Berkane;Villa;PT;2017;3524;122
Berkane;Villa;PT;2018;3560;123
Berkane;Villa;PT;2019;3613;125
Berkane;Villa;PT;2020;3619;125
Berkane;Villa;PT;2021;3702;128
Berkane;Villa;PT;2022;3766;130
Berkane;Villa;VIL;2001;3426;100
Berkane;Villa;VIL;2002;3473;101
Berkane;Villa;VIL;2003;3541;103
Berkane;Villa;VIL;2004;3551;104
Berkane;Villa;VIL;2005;3523;103
Berkane;Villa;VIL;2006;3552;103
Berkane;Villa;VIL;2007;3657;106
Berkane;Villa;VIL;2008;3783;110
Berkane;Villa;VIL;2009;3878;113
Berkane;Villa;VIL;2010;4005;116
Berkane;Villa;VIL;2011;4070;118
Berkane;Villa;VIL;2012;4135;120
Berkane;Villa;VIL;2013;4168;121
Berkane;Villa;VIL;2014;4193;122
Berkane;Villa;VIL;2015;4180;122
Berkane;Villa;VIL;2016;4237;124
Berkane;Villa;VIL;2017;4335;127
Berkane;Villa;VIL;2018;4370;128
Berkane;Villa;VIL;2019;4414;129
Berkane;Villa;VIL;2020;4410;129
Berkane;Villa;VIL;2021;4501;132
Berkane;Villa;VIL;2022;4589;135
Bouarfa;Appartement standing;APS;2001;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2002;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2003;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2004;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2005;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2006;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2007;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2008;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2009;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2010;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2011;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2012;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2013;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2014;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2015;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2016;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2017;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2018;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2019;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2020;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2021;Non disponible;Non disponible
Bouarfa;Appartement standing;APS;2022;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2001;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2002;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2003;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2004;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2005;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2006;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2007;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2008;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2009;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2010;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2011;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2012;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2013;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2014;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2015;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2016;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2017;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2018;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2019;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2020;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2021;Non disponible;Non disponible
Bouarfa;Appartement standing;GT;2022;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2001;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2002;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2003;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2004;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2005;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2006;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2007;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2008;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2009;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2010;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2011;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2012;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2013;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2014;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2015;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2016;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2017;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2018;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2019;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2020;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2021;Non disponible;Non disponible
Bouarfa;Appartement standing;MT;2022;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2001;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2002;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2003;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2004;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2005;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2006;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2007;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2008;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2009;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2010;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2011;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2012;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2013;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2014;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2015;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2016;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2017;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2018;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2019;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2020;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2021;Non disponible;Non disponible
Bouarfa;Appartement standing;PT;2022;Non disponible;Non disponible
Bouarfa;Appartement économique;APE;2001;824;100
Bouarfa;Appartement économique;APE;2002;845;102
Bouarfa;Appartement économique;APE;2003;849;103
Bouarfa;Appartement économique;APE;2004;835;101
Bouarfa;Appartement économique;APE;2005;838;101
Bouarfa;Appartement économique;APE;2006;862;104
Bouarfa;Appartement économique;APE;2007;906;109
Bouarfa;Appartement économique;APE;2008;950;115
Bouarfa;Appartement économique;APE;2009;990;120
Bouarfa;Appartement économique;APE;2010;1021;123
Bouarfa;Appartement économique;APE;2011;1039;126
Bouarfa;Appartement économique;APE;2012;1069;129
Bouarfa;Appartement économique;APE;2013;1095;132
Bouarfa;Appartement économique;APE;2014;1118;135
Bouarfa;Appartement économique;APE;2015;1146;140
Bouarfa;Appartement économique;APE;2016;1171;143
Bouarfa;Appartement économique;APE;2017;1207;147
Bouarfa;Appartement économique;APE;2018;1237;151
Bouarfa;Appartement économique;APE;2019;1261;154
Bouarfa;Appartement économique;APE;2020;1249;153
Bouarfa;Appartement économique;APE;2021;1278;156
Bouarfa;Appartement économique;APE;2022;1329;162
Bouarfa;Appartement économique;GT;2001;962;100
Bouarfa;Appartement économique;GT;2002;1000;104
Bouarfa;Appartement économique;GT;2003;1014;105
Bouarfa;Appartement économique;GT;2004;1043;108
Bouarfa;Appartement économique;GT;2005;1085;113
Bouarfa;Appartement économique;GT;2006;1114;116
Bouarfa;Appartement économique;GT;2007;1167;121
Bouarfa;Appartement économique;GT;2008;1219;127
Bouarfa;Appartement économique;GT;2009;1251;130
Bouarfa;Appartement économique;GT;2010;1280;133
Bouarfa;Appartement économique;GT;2011;1287;134
Bouarfa;Appartement économique;GT;2012;1301;135
Bouarfa;Appartement économique;GT;2013;1325;138
Bouarfa;Appartement économique;GT;2014;1363;142
Bouarfa;Appartement économique;GT;2015;1417;147
Bouarfa;Appartement économique;GT;2016;1465;152
Bouarfa;Appartement économique;GT;2017;1501;156
Bouarfa;Appartement économique;GT;2018;1533;159
Bouarfa;Appartement économique;GT;2019;1562;162
Bouarfa;Appartement économique;GT;2020;1546;161
Bouarfa;Appartement économique;GT;2021;1588;165
Bouarfa;Appartement économique;GT;2022;1654;172
Bouarfa;Appartement économique;MT;2001;800;100
Bouarfa;Appartement économique;MT;2002;817;102
Bouarfa;Appartement économique;MT;2003;819;102
Bouarfa;Appartement économique;MT;2004;788;99
Bouarfa;Appartement économique;MT;2005;781;98
Bouarfa;Appartement économique;MT;2006;811;101
Bouarfa;Appartement économique;MT;2007;856;107
Bouarfa;Appartement économique;MT;2008;898;112
Bouarfa;Appartement économique;MT;2009;945;118
Bouarfa;Appartement économique;MT;2010;974;122
Bouarfa;Appartement économique;MT;2011;998;125
Bouarfa;Appartement économique;MT;2012;1039;130
Bouarfa;Appartement économique;MT;2013;1066;133
Bouarfa;Appartement économique;MT;2014;1084;135
Bouarfa;Appartement économique;MT;2015;1131;141
Bouarfa;Appartement économique;MT;2016;1152;144
Bouarfa;Appartement économique;MT;2017;1190;149
Bouarfa;Appartement économique;MT;2018;1217;152
Bouarfa;Appartement économique;MT;2019;1239;155
Bouarfa;Appartement économique;MT;2020;1232;154
Bouarfa;Appartement économique;MT;2021;1257;157
Bouarfa;Appartement économique;MT;2022;1304;163
Bouarfa;Appartement économique;PT;2001;739;100
Bouarfa;Appartement économique;PT;2002;751;102
Bouarfa;Appartement économique;PT;2003;750;101
Bouarfa;Appartement économique;PT;2004;730;99
Bouarfa;Appartement économique;PT;2005;720;97
Bouarfa;Appartement économique;PT;2006;724;98
Bouarfa;Appartement économique;PT;2007;756;102
Bouarfa;Appartement économique;PT;2008;794;108
Bouarfa;Appartement économique;PT;2009;829;112
Bouarfa;Appartement économique;PT;2010;864;117
Bouarfa;Appartement économique;PT;2011;884;120
Bouarfa;Appartement économique;PT;2012;900;122
Bouarfa;Appartement économique;PT;2013;926;125
Bouarfa;Appartement économique;PT;2014;946;128
Bouarfa;Appartement économique;PT;2015;974;132
Bouarfa;Appartement économique;PT;2016;991;134
Bouarfa;Appartement économique;PT;2017;1024;139
Bouarfa;Appartement économique;PT;2018;1056;143
Bouarfa;Appartement économique;PT;2019;1080;146
Bouarfa;Appartement économique;PT;2020;1060;143
Bouarfa;Appartement économique;PT;2021;1090;147
Bouarfa;Appartement économique;PT;2022;1140;154
Bouarfa;Maison sur lot économique;GT;2001;799;100
Bouarfa;Maison sur lot économique;GT;2002;830;104
Bouarfa;Maison sur lot économique;GT;2003;843;105
Bouarfa;Maison sur lot économique;GT;2004;866;108
Bouarfa;Maison sur lot économique;GT;2005;901;113
Bouarfa;Maison sur lot économique;GT;2006;926;116
