Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Khémisset;Appartement économique;MT;2003;269;111
Khémisset;Appartement économique;MT;2004;292;121
Khémisset;Appartement économique;MT;2005;314;130
Khémisset;Appartement économique;MT;2006;348;144
Khémisset;Appartement économique;MT;2007;363;150
Khémisset;Appartement économique;MT;2008;383;159
Khémisset;Appartement économique;MT;2009;410;170
Khémisset;Appartement économique;MT;2010;432;179
Khémisset;Appartement économique;MT;2011;450;186
Khémisset;Appartement économique;MT;2012;488;202
Khémisset;Appartement économique;MT;2013;512;212
Khémisset;Appartement économique;MT;2014;536;222
Khémisset;Appartement économique;MT;2015;566;234
Khémisset;Appartement économique;MT;2016;583;241
Khémisset;Appartement économique;MT;2017;582;241
Khémisset;Appartement économique;MT;2018;631;261
Khémisset;Appartement économique;MT;2019;649;269
Khémisset;Appartement économique;MT;2020;685;284
Khémisset;Appartement économique;MT;2021;702;291
Khémisset;Appartement économique;MT;2022;747;309
Khémisset;Appartement économique;PT;2001;168;100
Khémisset;Appartement économique;PT;2002;187;111
Khémisset;Appartement économique;PT;2003;194;116
Khémisset;Appartement économique;PT;2004;210;125
Khémisset;Appartement économique;PT;2005;222;132
Khémisset;Appartement économique;PT;2006;232;138
Khémisset;Appartement économique;PT;2007;252;150
Khémisset;Appartement économique;PT;2008;274;164
Khémisset;Appartement économique;PT;2009;295;176
Khémisset;Appartement économique;PT;2010;306;182
Khémisset;Appartement économique;PT;2011;306;182
Khémisset;Appartement économique;PT;2012;318;189
Khémisset;Appartement économique;PT;2013;344;205
Khémisset;Appartement économique;PT;2014;370;221
Khémisset;Appartement économique;PT;2015;395;236
Khémisset;Appartement économique;PT;2016;412;245
Khémisset;Appartement économique;PT;2017;413;246
Khémisset;Appartement économique;PT;2018;432;258
Khémisset;Appartement économique;PT;2019;442;263
Khémisset;Appartement économique;PT;2020;516;308
Khémisset;Appartement économique;PT;2021;535;319
Khémisset;Appartement économique;PT;2022;571;341
Khémisset;Maison sur lot économique;GT;2001;284;100
Khémisset;Maison sur lot économique;GT;2002;296;104
Khémisset;Maison sur lot économique;GT;2003;306;108
Khémisset;Maison sur lot économique;GT;2004;318;112
Khémisset;Maison sur lot économique;GT;2005;329;116
Khémisset;Maison sur lot économique;GT;2006;341;120
Khémisset;Maison sur lot économique;GT;2007;352;124
Khémisset;Maison sur lot économique;GT;2008;365;128
Khémisset;Maison sur lot économique;GT;2009;377;133
Khémisset;Maison sur lot économique;GT;2010;389;137
Khémisset;Maison sur lot économique;GT;2011;397;140
Khémisset;Maison sur lot économique;GT;2012;407;143
Khémisset;Maison sur lot économique;GT;2013;441;155
Khémisset;Maison sur lot économique;GT;2014;474;167
Khémisset;Maison sur lot économique;GT;2015;502;177
Khémisset;Maison sur lot économique;GT;2016;511;180
Khémisset;Maison sur lot économique;GT;2017;529;186
Khémisset;Maison sur lot économique;GT;2018;541;190
Khémisset;Maison sur lot économique;GT;2019;552;194
Khémisset;Maison sur lot économique;GT;2020;712;250
Khémisset;Maison sur lot économique;GT;2021;733;258
Khémisset;Maison sur lot économique;GT;2022;770;271
Khémisset;Maison sur lot économique;MLE;2001;223;100
Khémisset;Maison sur lot économique;MLE;2002;230;103
Khémisset;Maison sur lot économique;MLE;2003;238;107
Khémisset;Maison sur lot économique;MLE;2004;253;114
Khémisset;Maison sur lot économique;MLE;2005;266;120
Khémisset;Maison sur lot économique;MLE;2006;284;128
Khémisset;Maison sur lot économique;MLE;2007;295;133
Khémisset;Maison sur lot économique;MLE;2008;308;139
Khémisset;Maison sur lot économique;MLE;2009;324;147
Khémisset;Maison sur lot économique;MLE;2010;335;152
Khémisset;Maison sur lot économique;MLE;2011;348;158
Khémisset;Maison sur lot économique;MLE;2012;369;168
Khémisset;Maison sur lot économique;MLE;2013;392;178
Khémisset;Maison sur lot économique;MLE;2014;414;188
Khémisset;Maison sur lot économique;MLE;2015;434;199
Khémisset;Maison sur lot économique;MLE;2016;446;205
Khémisset;Maison sur lot économique;MLE;2017;453;208
Khémisset;Maison sur lot économique;MLE;2018;470;216
Khémisset;Maison sur lot économique;MLE;2019;483;222
Khémisset;Maison sur lot économique;MLE;2020;585;267
Khémisset;Maison sur lot économique;MLE;2021;607;277
Khémisset;Maison sur lot économique;MLE;2022;641;293
Khémisset;Maison sur lot économique;MT;2001;230;100
Khémisset;Maison sur lot économique;MT;2002;232;101
Khémisset;Maison sur lot économique;MT;2003;240;104
Khémisset;Maison sur lot économique;MT;2004;256;111
Khémisset;Maison sur lot économique;MT;2005;271;118
Khémisset;Maison sur lot économique;MT;2006;294;128
Khémisset;Maison sur lot économique;MT;2007;301;131
Khémisset;Maison sur lot économique;MT;2008;312;135
Khémisset;Maison sur lot économique;MT;2009;328;142
Khémisset;Maison sur lot économique;MT;2010;340;148
Khémisset;Maison sur lot économique;MT;2011;354;154
Khémisset;Maison sur lot économique;MT;2012;380;165
Khémisset;Maison sur lot économique;MT;2013;401;174
Khémisset;Maison sur lot économique;MT;2014;420;183
Khémisset;Maison sur lot économique;MT;2015;442;192
Khémisset;Maison sur lot économique;MT;2016;453;197
Khémisset;Maison sur lot économique;MT;2017;456;198
Khémisset;Maison sur lot économique;MT;2018;478;207
Khémisset;Maison sur lot économique;MT;2019;495;215
Khémisset;Maison sur lot économique;MT;2020;593;257
Khémisset;Maison sur lot économique;MT;2021;615;267
Khémisset;Maison sur lot économique;MT;2022;649;282
Khémisset;Maison sur lot économique;PT;2001;166;100
Khémisset;Maison sur lot économique;PT;2002;182;110
Khémisset;Maison sur lot économique;PT;2003;189;114
Khémisset;Maison sur lot économique;PT;2004;202;122
Khémisset;Maison sur lot économique;PT;2005;212;128
Khémisset;Maison sur lot économique;PT;2006;220;133
Khémisset;Maison sur lot économique;PT;2007;241;146
Khémisset;Maison sur lot économique;PT;2008;260;157
Khémisset;Maison sur lot économique;PT;2009;278;168
Khémisset;Maison sur lot économique;PT;2010;286;173
Khémisset;Maison sur lot économique;PT;2011;299;180
Khémisset;Maison sur lot économique;PT;2012;315;190
Khémisset;Maison sur lot économique;PT;2013;337;204
Khémisset;Maison sur lot économique;PT;2014;357;216
Khémisset;Maison sur lot économique;PT;2015;377;227
Khémisset;Maison sur lot économique;PT;2016;392;236
Khémisset;Maison sur lot économique;PT;2017;399;241
Khémisset;Maison sur lot économique;PT;2018;410;248
Khémisset;Maison sur lot économique;PT;2019;417;252
Khémisset;Maison sur lot économique;PT;2020;492;297
Khémisset;Maison sur lot économique;PT;2021;514;310
Khémisset;Maison sur lot économique;PT;2022;545;329
Khémisset;Total ville;MLE;2001;269;100
Khémisset;Total ville;MLE;2002;284;105
Khémisset;Total ville;MLE;2003;299;110
Khémisset;Total ville;MLE;2004;321;118
Khémisset;Total ville;MLE;2005;340;126
Khémisset;Total ville;MLE;2006;366;135
Khémisset;Total ville;MLE;2007;381;142
Khémisset;Total ville;MLE;2008;401;150
Khémisset;Total ville;MLE;2009;426;159
Khémisset;Total ville;MLE;2010;444;166
Khémisset;Total ville;MLE;2011;460;172
Khémisset;Total ville;MLE;2012;489;183
Khémisset;Total ville;MLE;2013;516;195
Khémisset;Total ville;MLE;2014;543;205
Khémisset;Total ville;MLE;2015;516;205
Khémisset;Total ville;MLE;2016;528;211
Khémisset;Total ville;MLE;2017;535;214
Khémisset;Total ville;MLE;2018;555;222
Khémisset;Total ville;MLE;2019;569;228
Khémisset;Total ville;MLE;2020;665;269
Khémisset;Total ville;MLE;2021;689;279
Khémisset;Total ville;MLE;2022;726;295
Khémisset;Villa;GT;2001;1524;100
Khémisset;Villa;GT;2002;1675;110
Khémisset;Villa;GT;2003;1776;117
Khémisset;Villa;GT;2004;1869;123
Khémisset;Villa;GT;2005;1928;126
Khémisset;Villa;GT;2006;1993;131
Khémisset;Villa;GT;2007;2032;133
Khémisset;Villa;GT;2008;2130;140
Khémisset;Villa;GT;2009;2170;142
Khémisset;Villa;GT;2010;2239;147
Khémisset;Villa;GT;2011;2300;151
Khémisset;Villa;GT;2012;2425;159
Khémisset;Villa;GT;2013;2522;165
Khémisset;Villa;GT;2014;2620;172
Khémisset;Villa;GT;2015;2732;179
Khémisset;Villa;GT;2016;2799;184
Khémisset;Villa;GT;2017;2860;188
Khémisset;Villa;GT;2018;2930;192
Khémisset;Villa;GT;2019;2996;197
Khémisset;Villa;GT;2020;3350;220
Khémisset;Villa;GT;2021;3420;224
Khémisset;Villa;GT;2022;3500;230
Khémisset;Villa;MT;2001;1049;100
Khémisset;Villa;MT;2002;1086;103
Khémisset;Villa;MT;2003;1265;121
Khémisset;Villa;MT;2004;1329;127
Khémisset;Villa;MT;2005;1368;130
Khémisset;Villa;MT;2006;1411;134
Khémisset;Villa;MT;2007;1376;131
Khémisset;Villa;MT;2008;1421;135
Khémisset;Villa;MT;2009;1591;152
Khémisset;Villa;MT;2010;1597;152
Khémisset;Villa;MT;2011;1612;154
Khémisset;Villa;MT;2012;1662;158
Khémisset;Villa;MT;2013;1679;160
Khémisset;Villa;MT;2014;1701;162
Khémisset;Villa;MT;2015;1726;164
Khémisset;Villa;MT;2016;1727;165
Khémisset;Villa;MT;2017;1721;164
Khémisset;Villa;MT;2018;1727;165
Khémisset;Villa;MT;2019;1742;166
Khémisset;Villa;MT;2020;2107;201
Khémisset;Villa;MT;2021;2132;203
Khémisset;Villa;MT;2022;2212;211
Khémisset;Villa;PT;2001;595;100
Khémisset;Villa;PT;2002;654;110
Khémisset;Villa;PT;2003;666;112
Khémisset;Villa;PT;2004;652;109
Khémisset;Villa;PT;2005;710;119
Khémisset;Villa;PT;2006;719;121
Khémisset;Villa;PT;2007;902;151
Khémisset;Villa;PT;2008;948;159
Khémisset;Villa;PT;2009;1180;198
Khémisset;Villa;PT;2010;1166;196
Khémisset;Villa;PT;2011;1188;199
Khémisset;Villa;PT;2012;1231;207
Khémisset;Villa;PT;2013;1245;209
Khémisset;Villa;PT;2014;1262;212
Khémisset;Villa;PT;2015;1284;216
Khémisset;Villa;PT;2016;1282;215
Khémisset;Villa;PT;2017;1278;215
Khémisset;Villa;PT;2018;1283;215
Khémisset;Villa;PT;2019;1296;218
Khémisset;Villa;PT;2020;1552;261
Khémisset;Villa;PT;2021;1610;270
Khémisset;Villa;PT;2022;1671;281
Khémisset;Villa;VIL;2001;1222;100
Khémisset;Villa;VIL;2002;1315;107
Khémisset;Villa;VIL;2003;1438;118
Khémisset;Villa;VIL;2004;1507;123
Khémisset;Villa;VIL;2005;1557;127
Khémisset;Villa;VIL;2006;1607;131
Khémisset;Villa;VIL;2007;1633;135
Khémisset;Villa;VIL;2008;1703;140
Khémisset;Villa;VIL;2009;1818;153
Khémisset;Villa;VIL;2010;1852;155
Khémisset;Villa;VIL;2011;1890;158
Khémisset;Villa;VIL;2012;1975;164
Khémisset;Villa;VIL;2013;2029;168
Khémisset;Villa;VIL;2014;2087;173
Khémisset;Villa;VIL;2015;1946;181
Khémisset;Villa;VIL;2016;1967;182
Khémisset;Villa;VIL;2017;1983;183
Khémisset;Villa;VIL;2018;2009;185
Khémisset;Villa;VIL;2019;2039;187
Khémisset;Villa;VIL;2020;2376;220
Khémisset;Villa;VIL;2021;2423;225
Khémisset;Villa;VIL;2022;2498;232
Kénitra;Appartement standing;APS;2001;1096;100
Kénitra;Appartement standing;APS;2002;1179;107
Kénitra;Appartement standing;APS;2003;1183;107
Kénitra;Appartement standing;APS;2004;1228;112
Kénitra;Appartement standing;APS;2005;1177;106
Kénitra;Appartement standing;APS;2006;1185;109
Kénitra;Appartement standing;APS;2007;1405;129
Kénitra;Appartement standing;APS;2008;1634;150
Kénitra;Appartement standing;APS;2009;1723;157
Kénitra;Appartement standing;APS;2010;1716;157
Kénitra;Appartement standing;APS;2011;1726;158
Kénitra;Appartement standing;APS;2012;1777;163
Kénitra;Appartement standing;APS;2013;1825;168
Kénitra;Appartement standing;APS;2014;1860;172
Kénitra;Appartement standing;APS;2015;1723;175
Kénitra;Appartement standing;APS;2016;1814;185
Kénitra;Appartement standing;APS;2017;1855;189
Kénitra;Appartement standing;APS;2018;1883;192
Kénitra;Appartement standing;APS;2019;1913;196
Kénitra;Appartement standing;APS;2020;1878;192
Kénitra;Appartement standing;APS;2021;1915;196
Kénitra;Appartement standing;APS;2022;1981;203
Kénitra;Appartement standing;GT;2001;1375;100
Kénitra;Appartement standing;GT;2002;1547;113
Kénitra;Appartement standing;GT;2003;1647;120
Kénitra;Appartement standing;GT;2004;1611;117
Kénitra;Appartement standing;GT;2005;1665;121
Kénitra;Appartement standing;GT;2006;1500;109
Kénitra;Appartement standing;GT;2007;1745;127
Kénitra;Appartement standing;GT;2008;1989;145
Kénitra;Appartement standing;GT;2009;2175;158
Kénitra;Appartement standing;GT;2010;2178;158
Kénitra;Appartement standing;GT;2011;2164;157
Kénitra;Appartement standing;GT;2012;2210;161
Kénitra;Appartement standing;GT;2013;2258;164
Kénitra;Appartement standing;GT;2014;2294;167
Kénitra;Appartement standing;GT;2015;2297;167
Kénitra;Appartement standing;GT;2016;2380;173
Kénitra;Appartement standing;GT;2017;2453;178
Kénitra;Appartement standing;GT;2018;2508;182
Kénitra;Appartement standing;GT;2019;2532;184
Kénitra;Appartement standing;GT;2020;2475;180
Kénitra;Appartement standing;GT;2021;2495;181
Kénitra;Appartement standing;GT;2022;2539;185
Kénitra;Appartement standing;MT;2001;1043;100
Kénitra;Appartement standing;MT;2002;1091;105
Kénitra;Appartement standing;MT;2003;1014;97
Kénitra;Appartement standing;MT;2004;1106;106
Kénitra;Appartement standing;MT;2005;1009;97
Kénitra;Appartement standing;MT;2006;1103;106
Kénitra;Appartement standing;MT;2007;1338;128
Kénitra;Appartement standing;MT;2008;1572;151
Kénitra;Appartement standing;MT;2009;1616;155
Kénitra;Appartement standing;MT;2010;1593;153
Kénitra;Appartement standing;MT;2011;1611;155
Kénitra;Appartement standing;MT;2012;1662;159
Kénitra;Appartement standing;MT;2013;1697;163
Kénitra;Appartement standing;MT;2014;1722;165
Kénitra;Appartement standing;MT;2015;1678;161
Kénitra;Appartement standing;MT;2016;1774;170
Kénitra;Appartement standing;MT;2017;1789;172
Kénitra;Appartement standing;MT;2018;1797;172
Kénitra;Appartement standing;MT;2019;1813;174
Kénitra;Appartement standing;MT;2020;1811;174
Kénitra;Appartement standing;MT;2021;1852;178
Kénitra;Appartement standing;MT;2022;1923;184
Kénitra;Appartement standing;PT;2001;687;100
Kénitra;Appartement standing;PT;2002;700;102
Kénitra;Appartement standing;PT;2003;775;113
Kénitra;Appartement standing;PT;2004;829;121
Kénitra;Appartement standing;PT;2005;711;103
Kénitra;Appartement standing;PT;2006;800;116
Kénitra;Appartement standing;PT;2007;916;133
Kénitra;Appartement standing;PT;2008;1092;159
Kénitra;Appartement standing;PT;2009;1130;164
Kénitra;Appartement standing;PT;2010;1158;169
Kénitra;Appartement standing;PT;2011;1192;173
Kénitra;Appartement standing;PT;2012;1255;183
Kénitra;Appartement standing;PT;2013;1342;195
Kénitra;Appartement standing;PT;2014;1409;205
Kénitra;Appartement standing;PT;2015;1438;209
Kénitra;Appartement standing;PT;2016;1525;222
Kénitra;Appartement standing;PT;2017;1599;233
Kénitra;Appartement standing;PT;2018;1649;240
Kénitra;Appartement standing;PT;2019;1714;249
Kénitra;Appartement standing;PT;2020;1626;236
Kénitra;Appartement standing;PT;2021;1664;242
Kénitra;Appartement standing;PT;2022;1734;252
Kénitra;Appartement économique;APE;2001;649;100
Kénitra;Appartement économique;APE;2002;601;91
Kénitra;Appartement économique;APE;2003;603;93
Kénitra;Appartement économique;APE;2004;630;100
Kénitra;Appartement économique;APE;2005;696;112
Kénitra;Appartement économique;APE;2006;753;122
Kénitra;Appartement économique;APE;2007;820;133
Kénitra;Appartement économique;APE;2008;844;140
Kénitra;Appartement économique;APE;2009;893;149
Kénitra;Appartement économique;APE;2010;908;152
Kénitra;Appartement économique;APE;2011;960;158
Kénitra;Appartement économique;APE;2012;990;163
Kénitra;Appartement économique;APE;2013;1013;166
Kénitra;Appartement économique;APE;2014;1053;172
Kénitra;Appartement économique;APE;2015;1093;181
Kénitra;Appartement économique;APE;2016;1138;188
Kénitra;Appartement économique;APE;2017;1191;196
Kénitra;Appartement économique;APE;2018;1243;205
Kénitra;Appartement économique;APE;2019;1303;214
Kénitra;Appartement économique;APE;2020;1236;202
Kénitra;Appartement économique;APE;2021;1249;205
Kénitra;Appartement économique;APE;2022;1280;210
Kénitra;Appartement économique;GT;2001;1016;100
Kénitra;Appartement économique;GT;2002;999;98
Kénitra;Appartement économique;GT;2003;925;91
Kénitra;Appartement économique;GT;2004;858;84
Kénitra;Appartement économique;GT;2005;857;84
Kénitra;Appartement économique;GT;2006;839;83
Kénitra;Appartement économique;GT;2007;913;90
Kénitra;Appartement économique;GT;2008;795;78
Kénitra;Appartement économique;GT;2009;810;80
Kénitra;Appartement économique;GT;2010;806;79
Kénitra;Appartement économique;GT;2011;982;97
Kénitra;Appartement économique;GT;2012;1012;100
Kénitra;Appartement économique;GT;2013;1063;105
Kénitra;Appartement économique;GT;2014;1126;111
Kénitra;Appartement économique;GT;2015;1202;118
Kénitra;Appartement économique;GT;2016;1262;124
Kénitra;Appartement économique;GT;2017;1354;133
Kénitra;Appartement économique;GT;2018;1416;139
Kénitra;Appartement économique;GT;2019;1507;148
Kénitra;Appartement économique;GT;2020;1474;145
Kénitra;Appartement économique;GT;2021;1487;146
Kénitra;Appartement économique;GT;2022;1513;149
Kénitra;Appartement économique;MT;2001;543;100
Kénitra;Appartement économique;MT;2002;484;89
Kénitra;Appartement économique;MT;2003;520;96
Kénitra;Appartement économique;MT;2004;568;105
Kénitra;Appartement économique;MT;2005;653;120
Kénitra;Appartement économique;MT;2006;750;138
Kénitra;Appartement économique;MT;2007;837;154
Kénitra;Appartement économique;MT;2008;924;170
Kénitra;Appartement économique;MT;2009;967;178
Kénitra;Appartement économique;MT;2010;987;182
Kénitra;Appartement économique;MT;2011;1001;184
Kénitra;Appartement économique;MT;2012;1028;189
Kénitra;Appartement économique;MT;2013;1044;192
Kénitra;Appartement économique;MT;2014;1080;199
Kénitra;Appartement économique;MT;2015;1116;206
Kénitra;Appartement économique;MT;2016;1165;215
Kénitra;Appartement économique;MT;2017;1201;221
Kénitra;Appartement économique;MT;2018;1243;229
Kénitra;Appartement économique;MT;2019;1296;239
Kénitra;Appartement économique;MT;2020;1227;226
Kénitra;Appartement économique;MT;2021;1237;228
Kénitra;Appartement économique;MT;2022;1270;234
Kénitra;Appartement économique;PT;2001;540;100
Kénitra;Appartement économique;PT;2002;487;90
Kénitra;Appartement économique;PT;2003;474;88
Kénitra;Appartement économique;PT;2004;549;102
Kénitra;Appartement économique;PT;2005;637;118
Kénitra;Appartement économique;PT;2006;660;122
Kénitra;Appartement économique;PT;2007;662;123
Kénitra;Appartement économique;PT;2008;664;123
Kénitra;Appartement économique;PT;2009;770;143
Kénitra;Appartement économique;PT;2010;790;146
Kénitra;Appartement économique;PT;2011;812;150
Kénitra;Appartement économique;PT;2012;847;157
Kénitra;Appartement économique;PT;2013;859;159
Kénitra;Appartement économique;PT;2014;889;165
Kénitra;Appartement économique;PT;2015;956;177
Kénitra;Appartement économique;PT;2016;984;182
Kénitra;Appartement économique;PT;2017;1039;192
Kénitra;Appartement économique;PT;2018;1104;205
Kénitra;Appartement économique;PT;2019;1156;214
Kénitra;Appartement économique;PT;2020;1066;198
Kénitra;Appartement économique;PT;2021;1084;201
Kénitra;Appartement économique;PT;2022;1116;207
Kénitra;Maison sur lot économique;GT;2001;1024;100
Kénitra;Maison sur lot économique;GT;2002;1148;112
Kénitra;Maison sur lot économique;GT;2003;1178;115
Kénitra;Maison sur lot économique;GT;2004;996;97
Kénitra;Maison sur lot économique;GT;2005;925;90
Kénitra;Maison sur lot économique;GT;2006;1038;101
Kénitra;Maison sur lot économique;GT;2007;1000;98
Kénitra;Maison sur lot économique;GT;2008;1016;99
Kénitra;Maison sur lot économique;GT;2009;1150;112
Kénitra;Maison sur lot économique;GT;2010;1162;114
Kénitra;Maison sur lot économique;GT;2011;1222;119
Kénitra;Maison sur lot économique;GT;2012;1235;121
Kénitra;Maison sur lot économique;GT;2013;1245;122
Kénitra;Maison sur lot économique;GT;2014;1268;124
Kénitra;Maison sur lot économique;GT;2015;1322;129
Kénitra;Maison sur lot économique;GT;2016;1351;132
Kénitra;Maison sur lot économique;GT;2017;1400;137
Kénitra;Maison sur lot économique;GT;2018;1499;146
Kénitra;Maison sur lot économique;GT;2019;1573;154
Kénitra;Maison sur lot économique;GT;2020;1407;137
Kénitra;Maison sur lot économique;GT;2021;1417;138
Kénitra;Maison sur lot économique;GT;2022;1441;141
Kénitra;Maison sur lot économique;MLE;2001;807;100
Kénitra;Maison sur lot économique;MLE;2002;900;111
Kénitra;Maison sur lot économique;MLE;2003;921;114
Kénitra;Maison sur lot économique;MLE;2004;810;101
Kénitra;Maison sur lot économique;MLE;2005;786;98
Kénitra;Maison sur lot économique;MLE;2006;858;106
Kénitra;Maison sur lot économique;MLE;2007;886;111
Kénitra;Maison sur lot économique;MLE;2008;981;124
Kénitra;Maison sur lot économique;MLE;2009;1045;131
