Agglomération;Type d'habitat;Envergure;Année;Montants moyens des honoraires des agents immobiliers;Indices des montants moyens des honoraires des agents immobiliers
Essaouira;Villa;PT;2007;1520;148
Essaouira;Villa;PT;2008;1565;152
Essaouira;Villa;PT;2009;1624;158
Essaouira;Villa;PT;2010;1642;159
Essaouira;Villa;PT;2011;1690;164
Essaouira;Villa;PT;2012;1653;160
Essaouira;Villa;PT;2013;1678;163
Essaouira;Villa;PT;2014;1731;168
Essaouira;Villa;PT;2015;1752;170
Essaouira;Villa;PT;2016;1772;172
Essaouira;Villa;PT;2017;1766;171
Essaouira;Villa;PT;2018;1808;176
Essaouira;Villa;PT;2019;1844;179
Essaouira;Villa;PT;2020;1846;179
Essaouira;Villa;PT;2021;1916;186
Essaouira;Villa;PT;2022;2016;196
Essaouira;Villa;VIL;2001;1573;100
Essaouira;Villa;VIL;2002;1696;108
Essaouira;Villa;VIL;2003;1817;116
Essaouira;Villa;VIL;2004;1956;125
Essaouira;Villa;VIL;2005;2099;134
Essaouira;Villa;VIL;2006;2145;138
Essaouira;Villa;VIL;2007;2225;143
Essaouira;Villa;VIL;2008;2300;148
Essaouira;Villa;VIL;2009;2376;153
Essaouira;Villa;VIL;2010;2414;155
Essaouira;Villa;VIL;2011;2467;159
Essaouira;Villa;VIL;2012;2508;160
Essaouira;Villa;VIL;2013;2549;163
Essaouira;Villa;VIL;2014;2609;167
Essaouira;Villa;VIL;2015;2516;168
Essaouira;Villa;VIL;2016;2538;170
Essaouira;Villa;VIL;2017;2518;169
Essaouira;Villa;VIL;2018;2547;172
Essaouira;Villa;VIL;2019;2576;174
Essaouira;Villa;VIL;2020;2489;169
Essaouira;Villa;VIL;2021;2545;173
Essaouira;Villa;VIL;2022;2625;180
Marrakech;Appartement standing;APS;2001;1880;100
Marrakech;Appartement standing;APS;2002;2028;108
Marrakech;Appartement standing;APS;2003;2105;112
Marrakech;Appartement standing;APS;2004;2196;117
Marrakech;Appartement standing;APS;2005;2271;121
Marrakech;Appartement standing;APS;2006;2335;124
Marrakech;Appartement standing;APS;2007;2425;129
Marrakech;Appartement standing;APS;2008;2484;132
Marrakech;Appartement standing;APS;2009;2565;137
Marrakech;Appartement standing;APS;2010;2704;145
Marrakech;Appartement standing;APS;2011;2729;146
Marrakech;Appartement standing;APS;2012;2321;125
Marrakech;Appartement standing;APS;2013;2320;126
Marrakech;Appartement standing;APS;2014;2226;121
Marrakech;Appartement standing;APS;2015;2183;122
Marrakech;Appartement standing;APS;2016;2185;122
Marrakech;Appartement standing;APS;2017;2067;117
Marrakech;Appartement standing;APS;2018;2012;114
Marrakech;Appartement standing;APS;2019;1951;112
Marrakech;Appartement standing;APS;2020;1956;111
Marrakech;Appartement standing;APS;2021;2105;118
Marrakech;Appartement standing;APS;2022;2263;126
Marrakech;Appartement standing;GT;2001;2190;100
Marrakech;Appartement standing;GT;2002;2348;107
Marrakech;Appartement standing;GT;2003;2368;108
Marrakech;Appartement standing;GT;2004;2460;112
Marrakech;Appartement standing;GT;2005;2600;119
Marrakech;Appartement standing;GT;2006;2746;125
Marrakech;Appartement standing;GT;2007;2818;129
Marrakech;Appartement standing;GT;2008;2866;131
Marrakech;Appartement standing;GT;2009;2925;134
Marrakech;Appartement standing;GT;2010;2910;133
Marrakech;Appartement standing;GT;2011;2848;130
Marrakech;Appartement standing;GT;2012;2634;120
Marrakech;Appartement standing;GT;2013;2482;113
Marrakech;Appartement standing;GT;2014;2404;110
Marrakech;Appartement standing;GT;2015;2359;108
Marrakech;Appartement standing;GT;2016;2394;109
Marrakech;Appartement standing;GT;2017;2306;105
Marrakech;Appartement standing;GT;2018;2319;106
Marrakech;Appartement standing;GT;2019;2303;105
Marrakech;Appartement standing;GT;2020;2281;104
Marrakech;Appartement standing;GT;2021;2456;112
Marrakech;Appartement standing;GT;2022;2688;123
Marrakech;Appartement standing;MT;2001;1958;100
Marrakech;Appartement standing;MT;2002;2133;109
Marrakech;Appartement standing;MT;2003;2241;114
Marrakech;Appartement standing;MT;2004;2344;120
Marrakech;Appartement standing;MT;2005;2402;123
Marrakech;Appartement standing;MT;2006;2434;124
Marrakech;Appartement standing;MT;2007;2544;130
Marrakech;Appartement standing;MT;2008;2599;133
Marrakech;Appartement standing;MT;2009;2672;137
Marrakech;Appartement standing;MT;2010;2894;148
Marrakech;Appartement standing;MT;2011;2950;151
Marrakech;Appartement standing;MT;2012;2345;120
Marrakech;Appartement standing;MT;2013;2396;122
Marrakech;Appartement standing;MT;2014;2255;115
Marrakech;Appartement standing;MT;2015;2198;112
Marrakech;Appartement standing;MT;2016;2160;110
Marrakech;Appartement standing;MT;2017;1978;101
Marrakech;Appartement standing;MT;2018;1851;95
Marrakech;Appartement standing;MT;2019;1724;88
Marrakech;Appartement standing;MT;2020;1805;92
Marrakech;Appartement standing;MT;2021;1986;101
Marrakech;Appartement standing;MT;2022;2157;110
Marrakech;Appartement standing;PT;2001;1208;100
Marrakech;Appartement standing;PT;2002;1256;104
Marrakech;Appartement standing;PT;2003;1305;108
Marrakech;Appartement standing;PT;2004;1354;112
Marrakech;Appartement standing;PT;2005;1398;116
Marrakech;Appartement standing;PT;2006;1460;121
